"ASP.NET Core Fundamentals","aspdotnet-core-fundamentals"
"Securing Your Application with OAuth and Passport","oauth-passport-securing-application"
"T-SQL Window Functions","tsql-window-functions"
"F# Jumpstart","fsharp-jumpstart"
"XAML for Xamarin.Forms","xaml-for-xamarin-forms"
"Getting Started with OpenCV in .NET","getting-started-opencv-net"
"Building Native Mobile Apps for SAP Business Warehouse: Part 2","building-native-mobile-apps-sap-business-warehouse-part2"
"Node.js and the Internet of Things Using Intel Edison","nodejs-internet-of-things-intel-edison"
"Building Applications with Aurelia","building-applications-aurelia"
"Amazon Web Services Databases in Depth","amazon-web-services-databases-in-depth"
"Confident Coding: A Journey to Automated Testing in ASP.NET MVC","confident-coding-automated-testing-aspdotnet-mvc"
"Play by Play: MVP Scope Discovery with Steven Maguire","play-by-play-mvp-scope-discovery"
"Introduction to Ada 2012","ada-2012-introduction"
"Build iOS Apps with React Native","build-ios-apps-react-native"
"Building F# Type Providers","building-f-sharp-type-providers"
"Real World Big Data in Azure","real-world-big-data-microsoft-azure"
"Better Unit Test Assertions with Shouldly","shouldly-unit-test-assertions"
"Managing Developers","managing-developers"
"User Experience First and in Context","user-experience-first-in-context"
"Building Web Applications with hapi","hapi-building-web-applications"
"Front End Web Development Career Kickstart","front-end-web-development-career-kickstart"
"Azure Hybrid Connections: First Look","azure-hybrid-connections-first-look"
"React.js: Getting Started","react-js-getting-started"
"Umbraco Jumpstart","umbraco-jumpstart"
"Testing .NET Code with xUnit.net 2","xunitdotnet2-dotnet-code-testing"
"Building Ruby Gems","building-ruby-gems"
"Monetizing GameSalad Games with In-App Purchases","monetizing-gamesalad-in-app-purchase"
"Unit Testing with Node.js","unit-testing-nodejs"
"WPF MVVM In Depth","wpf-mvvm-in-depth"
"Extending Bootstrap with CSS, JavaScript, and jQuery","extending-bootstrap-css-javascript-jquery"
"Linux Systems Programming","linux-systems-programming"
"Best Practices in ASP.NET: Entities, Validation, and View Models","aspdotnet-bestpractices-models"
"Marketing and Selling Your Own Products and Services","marketing-selling-products-services"
"Go Fundamentals","go-fundamentals"
"TFS Build 2015: First Look","tfs-build-2015-first-look"
"Entity Framework Database Performance Anti-patterns","entity-framework-database-performance-anti-patterns"
"Careers in IT: How to Get Your First Job","how-to-get-your-first-job"
"Introduction to MEAN.JS","meanjs-introduction"
"SQL Server: Index Fragmentation Internals, Analysis, and Solutions","sqlserver-index-fragmentation-internals-analysis-solutions"
"Angular Application Development","angular-application-development"
"Concurrent Programming with Go","go-concurrent-programming"
"Introduction to Business Information Technology","business-information-technology-introduction"
"io.js and Node.js Next: Getting Started","running-node-applications-io-js"
"Understanding the Java Virtual Machine: Memory Management","understanding-java-vm-memory-management"
"The MVC Request Life Cycle","mvc-request-life-cycle"
"jQuery: Getting Started","jquery-getting-started"
"Master-Detail Workflow Apps with EF, MVC, Identity 2, and Modals","master-detail-workflow-ef-mvc-identity-modals"
"Agile Requirements Process: From Idea to Minimum Viable Product","agile-requirements-process-idea-to-minimum-viable-product"
"PostgreSQL: Introduction to SQL Queries","postgresql-sql-queries-introduction"
"Starting in Symfony2","starting-in-symfony2"
"Developer's Guide to Photo & Design Techniques in Action","developers-guide-photo-design-techniques"
"Android Animations","android-animations"
"Diagnostic Analyzers in Visual Studio 2015: First Look","vs-2015-diagnostic-analyzers-first-look"
"Practical Cryptography in .NET","practical-cryptography-dotnet"
"SQL Server: Optimizing Stored Procedure Performance: Part 2","sqlserver-optimizing-stored-procedure-performance-part2"
"Twig Templates in Craft CMS","twig-templates-in-craft"
"C# Concurrent Collections","csharp-concurrent-collections"
"Tracking Real World Web Performance","web-performance-tracking"
"Customer Service for Software Developers: Delighting Customers","customer-service-software-developers"
"WordPress Fundamentals: WP_Query and the Loop","wordpress-fundamentals-wp-query-loop"
"The Future of Technology Careers","future-technology-careers"
"Building a Real World iOS Application with Swift","swift-ios-application-real-world"
"Angular: The Big Picture","angular-big-picture"
"SQL Server Continuous Database Delivery with Flyway","sql-server-flyway-continuous-database-delivery"
"Introduction to Testing in Java","java-testing-introduction"
"Working with Collections in Oracle PL/SQL","oracle-plsql-working-collections"
"SVG Fundamentals","svg-fundamentals"
"Creating Modern WPF Apps with MahApps.Metro","mahappsdotmetro-creating-modern-wpf-apps"
"Getting Started With Java EE on WebSphere® Application Server","java-ee-websphere-application-server-getting-started"
"Test-Driven Development with F#","fsharp-test-driven-development"
"IBM WebSphere Portal and WCM 8.5 Fundamentals","websphere-portal-ibm"
"Excel Application Development with VBA","excel-application-development-vba"
"Pig Latin: Getting Started","pig-latin-getting-started"
"Building a SPA Framework Using AngularJS","building-spa-framework-angularjs"
"PowerShell Cmdlet Development in C#: The Ins and Outs","powershell-cmdlet-development-csharp"
"SAP Crystal Reports Fundamentals","sap-crystal-reports-fundamentals"
"Design Patterns in Java: Creational","design-patterns-java-creational"
"RethinkDB Fundamentals","rethinkdb-fundamentals"
"Play by Play: Angular Testing with John Papa and Ward Bell","play-by-play-angular-testing-papa-bell"
"Design to Development","design-to-development-for-developers"
"Big Scrum","big-scrum"
"Building Cross Platform Mobile Apps with C#, Xamarin, and Azure","building-cross-platform-mobile-apps-csharp-xamarin-azure"
"Creating Web Applications with Go","creating-web-applications-go"
"Ruby on Rails 4: Getting Started","ruby-rails-4-getting-started"
"Serialization in .NET 4.5","serialization-dotnet-4-5"
"Introduction to Property-based Testing with F#","fsharp-property-based-testing-introduction"
"Practical TypeScript Migration","typescript-practical-migration"
"Angular Front to Back with Web API","angular-web-api-front-back"
"Animating AngularJS Applications","angular-animating-apps"
"RESTful Web Services with Node.js and Express","node-js-express-rest-web-services"
"Node.js Testing Strategies","nodejs-testing-strategies"
".NET Performance Optimization & Profiling with JetBrains dotTrace","dotnet-performance-optimization-profiling-jetbrains-dottrace"
"Advanced JavaScript","advanced-javascript"
"Choosing a JavaScript Framework","choosing-javascript-framework"
"Creating JavaScript Modules with Browserify","creating-javascript-modules-browserify"
"Hardcore Functional Programming in JavaScript","hardcore-functional-programming-javascript"
"Introduction to Web Development","web-development-intro"
"Resumes and Self-marketing for Software Developers","resumes-self-marketing-software-developers"
"Responsive Typography","responsive-typography"
"What's New in XSLT 3.0: Part 1","xslt-3-0-whats-new-part1"
"JS.Next: ES6","js-next-es6"
"Real-Time Web with Node.js","real-time-web-nodejs"
"Better .NET Unit Tests with AutoFixture: Get Started","autofixture-dotnet-unit-test-get-started"
"Play by Play: Website Security Review with Troy Hunt and Lars Klint","play-by-play-website-security-review-troy-hunt-lars-klint"
"Modernizing Your Websites with Azure Platform as a Service","modernizing-websites-microsoft-azure"
"Creating Calculated Columns in SharePoint","creating-calculated-columns-sharepoint"
"Office 365 APIs: Contacts","office-365-api-contacts"
"Unit Testing with F#","fsharp-unit-testing"
"Understanding the Java Virtual Machine: Class Loading and Reflection","understanding-java-vm-class-loading-reflection"
"SQL Server: Change Data Capture","sql-server-change-data-capture"
"ScratchJr Interactive Collage","scratchjr-interactive-collage"
"What's New in Django 1.7 and 1.8","django-1-7-whats-new"
"Prism Problems & Solutions: Showing Multiple Shells","prism-showing-multiple-shells"
"MySQL Continuous Database Delivery with Flyway","mysql-flyway-continuous-database-delivery"
"Getting Started with Raygun in .NET","raygun-dotnet-getting-started"
"Tactical Design Patterns in .NET: Managing Responsibilities","tactical-design-patterns-dotnet-managing-responsibilities"
"What's New for C++ Developers in Visual Studio 2015 Preview","whats-new-visual-studio-2015-preview-cplusplus-devs"
"Testing Web Applications with CodedUI","codedui-testing-web-applications"
"Introduction to Setup Factory 9","setup-factory-9-introduction"
"Touch and Motion Events for iOS","touch-motion-events-ios"
"Context and Dependency Injection (CDI 1.1)","context-dependency-injection-1-1"
"Hands On Foundation 5","hands-on-foundation-5"
"Advanced Integration Services: Part 2","ssis-advanced-part2"
"ASP.NET 5: First Look","asp-dotnet-5-first-look"
"Occasionally Connected Windows Mobile Apps: Collaboration","occasionally-connected-windows-mobile-apps-collaboration"
"Introduction to Protractor","protractor-introduction"
"Looking Ahead to Entity Framework 7","entity-framework-7-looking-ahead"
"Introduction to the WiX Toolset","wix-introduction"
"WCF End-to-End","wcf-end-to-end"
"Building and Securing a RESTful API for Multiple Clients in ASP.NET","building-securing-restful-api-aspdotnet"
"Getting Started With Ubuntu","ubuntu-getting-started"
"Introduction to Fixie: Convention-based Testing in .NET","fixie-introduction"
"Mastering Your Own Domain","master-domain"
"Scala for Java Developers","scala-for-java-developers"
"Developer's Guide to SQL Server CLR Integration","developers-guide-sql-server-clr"
"Creating Custom Builds with Dojo","creating-custom-builds-dojo"
"Practical HTML5","practical-html5"
"AngularJS Services In-depth","angularjs-services-in-depth"
"Apple Watch Fundamentals","apple-watch-fundamentals"
"Practical CouchDB for Developers","practical-couchdb-developers"
"Office 365 APIs: Overview, Authentication & the Discovery Service","office-365-api-overview-authentication-discovery-service"
"Introduction to Xamarin.Forms","xamarin-forms-introduction"
"Introduction to Integration With Apache Camel","apache-camel-intro-integration"
"Integrating ASP.NET MVC With the Facebook Graph API","integrating-aspdotnet-mvc-facebook-graphapi"
"SQLite with Modern C++","sqlite-modern-cplusplus"
"SMACSS: Scalable Modular Architecture for CSS","scalable-modular-architecture-for-css"
"Coding for Drush","drush-coding"
"Oracle Developer Essentials: Views, Synonyms and Triggers","oracle-developer-views-synonyms-triggers-essentials"
"An AngularJS Playbook","angularjs-playbook"
"SQL Server 2012-2014 Native File Streaming","sql-server-2012-2014-native-file-streaming"
"Introduction to Drush","drush-introduction"
"HTML5 Offline Applications with Angular, IndexedDB and Bootstrap","html5-offline-apps-angular-indexeddb-bootstrap"
"Puppet Fundamentals for System Administrators","puppet-system-administrators-fundamentals"
"Two Tier Enterprise App and API Development with Angular & Sails","two-tier-enterprise-app-api-development-angular-sails"
"Making the Case for Unit Testing Database Code","unit-testing-database-code"
"LinkedIn: Proactive Strategies","linkedin-proactive-strategies"
"Creative Problem Solving and Decision Making Techniques","creative-problem-solving-decision-techniques"
"Getting Started with Spring Data JPA","spring-data-jpa-getting-started"
"PHP: Get Started","php-get-started"
"Introduction to Graph Databases and Neo4j","graph-databases-neo4j-introduction"
"Xamarin Continuous Integration Using TeamCity and FAKE","xamarin-continuous-integration-teamcity-fake"
"Integrating Qt Quick with C++","integrating-qt-quick-cpp"
"AngularJS Security Fundamentals","angularjs-security-fundamentals"
"Idiomatic Ruby","ruby-idiomatic"
"SQL Server 2014 DMV Diagnostic Queries: Part 3","sql-server-2014-dmv-diagnostic-queries-part3"
"Building Web Applications With NancyFX","building-web-apps-nancyfx"
"Big Data on Amazon Web Services","big-data-amazon-web-services"
"Angular Directives Fundamentals","angularjs-directive-fundamentals"
"JavaScript Build Automation With Gulp.js","javascript-build-automation-gulpjs"
"AngularUI Fundamentals","angularui-fundamentals"
"Build Your Own Bootstrap Business Application Template in MVC","bootstrap-business-application-template-mvc"
"Android Custom Components","android-custom-components"
"Amazing Things You Can Do With a Web Browser (And a Bit of Code)","amazing-things-with-web-browser"
"Oracle Developer Essentials: Tables and Indexes","oracle-developer-tables-indexes-essentials"
"Oracle Developer Essentials: Data Types","oracle-developer-data-types-essentials"
"Becoming a .NET Developer","becoming-dotnet-developer"
"Introduction to the Web Audio API","web-audio-api-introduction"
"PostgreSQL: Getting Started","postgresql-getting-started"
"Introduction to NopCommerce Plugin Development","nopcommerce-plugin-development"
"Application Instrumentation Using Performance Counters","application-instrumentation-using-performance-counters"
"Agile Fundamentals","agile-fundamentals"
"Windows Phone and Windows Store Apps With Caliburn.Micro","windows-phone-apps-caliburn-micro"
"Software Engineering Essentials","software-engineering-essentials"
"Responsive Websites With Bootstrap 3","responsive-websites-bootstrap3"
"Hacking Ghost","hacking-ghost"
"XAML Layout in Depth","xaml-layout-in-depth"
"Visual Studio 2015: A First Look at the IDE","visual-studio-2015-first-look-ide"
"Optical Character Recognition with Windows Runtime","optical-character-recognition-windows-runtime"
"RequireJS: JavaScript Dependency Injection and Module Loading","requirejs-javascript-dependency-injection"
"Getting Started with Augmented Reality on Android Devices","augmented-reality-android-devices-getting-started"
"Developing SharePoint 2013 Solutions with JavaScript: Part 2","developing-sharepoint-2013-javascript-part2"
"Management 101","management-101"
"HTML5 Web Component Fundamentals","web-components-shadow-dom"
"Introduction to the Java API for WebSockets","java-api-websockets-introduction"
"RStudio:Get Started","rstudio-get-started"
"Cloud Foundry for Developers","cloud-foundry-developers"
"Implementing Feature Toggles in .NET with FeatureToggle","dotnet-featuretoggle-implementing"
"Automated Testing in ASP.NET With SpecsFor and SpecsFor.Mvc","automated-testing-aspdotnet-specsfor"
"Dojo Fundamentals","dojo-fundamentals"
"Secure Account Management Fundamentals","secure-account-management-fundamentals"
"SSIS Design Patterns for Data Warehousing","ssis-design-patterns-data-warehousing"
"The Art and Practice of Information Architecture","art-practice-information-architecture"
"Using TypeScript for Large AngularJS Applications","using-typescript-large-angularjs-apps"
"Making the Business Case for Best Practices","making-business-case-for-best-practices"
"Hands on with Python Jinja Templating","python-jinja-templating"
"Introduction to Presentation Design","presentation-design-introduction"
"The Dark Side of Technology Careers","technology-careers-dark-side"
"Patterns for Pragmatic Unit Testing","pragmatic-unit-testing-patterns"
"Introduction to the Flask Microframework","flask-micro-framework-introduction"
"Agile in the Real World","agile-real-world"
"Introduction to .NET Testing with NUnit","nunit-dotnet-testing-introduction"
"Image Composition in .NET","image-composition-dotnet"
"Introduction to SAP Integration for .NET Developers","sap-integration-dotnet-developers"
"Creating Server-Side Excel Workbooks","creating-server-side-excel-workbooks"
"ClickOnce Deployment Fundamentals","clickonce-deployment-fundamentals"
"What's New in Angular 1.3","angular-1-3"
"Introduction to Koa Javascript","javascript-koa-introduction"
"Marionette Fundamentals","marionette-fundamentals"
"SQL Server 2014 DMV Diagnostic Queries: Part 2","sql-server-2014-dmv-diagnostic-queries-part2"
"Best Practices for Project Estimation","project-estimation-best-practices"
"Load Testing with Visual Studio 2013","load-testing-visual-studio-2013"
"Using StackOverflow and Other StackExchange Sites","using-stackoverflow-stackexchange-sites"
"Kanban Development With Jira Agile","kanban-development-jira-agile"
"Data Science & Hadoop Workflows at Scale With Scalding","data-science-hadoop-workflows-scalding"
"Hands On Responsive Web Design","hands-on-responsive-web-design"
"Automated ASP.NET MVC Testing: End to End","automated-aspdotnet-mvc"
"Five Essential Tools for Building REST APIs","five-essential-tools-building-rest-api"
"Construct 2 Fundamentals","construct2-fundamentals"
"Developer to Manager","developer-to-manager"
"SQL Data Wrangling in Oracle: Table Data","sql-data-wrangling-oracle-tables"
"Introduction to Mongoose for Node.js and MongoDB","mongoose-for-nodejs-mongodb"
"Getting Started With Elasticsearch for .NET Developers","elasticsearch-for-dotnet-developers"
"TDD as a Design Tool","tdd-as-design-tool"
"Oracle PL/SQL: Transactions, Dynamic SQL & Debugging","oracle-plsql-transactions-dynamic-sql-debugging"
"Software Process Management","software-process-management"
"Getting Started With Cinder","cinder-getting-started"
"Play by Play: Cross-Browser Compatibility with Peter-Paul Koch","play-by-play-peter-paul-koch"
"Creating Apps With Angular, Node, and Token Authentication","creating-apps-angular-node-token-authentication"
"Making .NET Applications Even Faster","making-dotnet-applications-even-faster"
"Real World Scrum With Team Foundation Server 2013","real-world-scrum-team-foundation-server-2013"
"Getting Started With Release Management for Visual Studio 2013","visual-studio-2013-release-management-getting-started"
"Microsoft Test Manager 2013","microsoft-test-manager-2013"
"Website Planning and Design in Sketch","website-planning-design-sketch-1843"
"Entity Framework 6: Ninja Edition: What's New in EF6","entity-framework-6-ninja-edition-whats-new"
"Learn to Program With the Sphero Robot","learn-to-program-sphero-robot"
"Introduction to BrightstarDB","brightstardb-introduction"
"What's New in ExtJS 5","extjs-5-whats-new"
"Cloud Business Intelligence: The Big Picture","cloud-business-intelligence"
"Introduction to Building Universal Store Apps With C# and XAML","building-universal-store-apps-csharp-xaml"
"WebStorm Fundamentals","webstorm-fundamentals"
"Accelerated Introduction to C++","accelerated-introduction-cpp"
"Introduction to Spring MVC 4","spring-mvc4-introduction"
"AngularJS Forms Using Bootstrap and MVC 5","angularjs-forms-bootstrap-mvc5"
"Qt Quick Fundamentals","qt-quick-fundamentals"
"Introduction to the .NET Compiler Platform","dotnet-compiler-platform-introduction"
"Visual Studio Development on a Mac","visual-studio-development-mac"
"Organizational BI With SSAS 2012 Tabular: Introduction","organizational-bi-ssas-2012-tabular-intro"
"R Programming Fundamentals","r-programming-fundamentals"
"Using iBeacons With Xamarin.iOS","using-ibeacons-xamarin-ios"
"Getting Started With the Mapbox JavaScript API","getting-started-mapbox-javascript"
"Kendo UI and AngularJS from Scratch","kendo-ui-angularjs-from-scratch"
"Azure Websites and WebJobs","windows-azure-websites-web-jobs"
"Python Desktop Application Development: Part 2: Design","python-desktop-application-development-design-part2"
"Leadership: Getting Started","leadership-getting-started"
"Introduction to Joomla!","joomla-introduction"
"Play by Play: Learning AngularJS With Ken Cenerelli and John Papa","play-by-play-learning-angularjs-ken-cenerelli-john-papa"
"AngularJS Patterns: Clean Code","angularjs-patterns-clean-code"
"Swift: First Look","swift-first-look"
"Exploring Android Studio","exploring-android-studio"
"Abstract Art: Getting Things 'Just Right'","abstract-art-getting-things-just-right"
"Adobe Muse Fundamentals","adobe-muse-fundamentals"
"Introduction to SQuirreL Universal SQL Client","squirrel-universal-sql-client-introduction"
"Introduction to Versioning Environments With Vagrant","vagrant-versioning-environments"
"Building a Linux Server for Ruby on Rails Development","building-linux-server-for-ruby-on-rails"
"AutoPlay Media Studio Fundamentals Part 2","autoplay-media-studio-fundamentals-part2"
"Windows Forms Best Practices","windows-forms-best-practices"
"AngularJS Line of Business Applications","angularjs-line-of-business-applications"
"Architecting Device-Driven Web Solutions","device-driven-web-solutions-wurfl"
"Postgres for .NET Developers","postgres-dotnet-developers"
"Building a Cloud-Based iOS Application With Parse Framework","building-cloud-based-ios-app-parse"
"Introduction to Microsoft Orleans","microsoft-orleans-introduction"
"What's New in C# 6","csharp-6-whats-new"
".NET Interoperability Fundamentals","dotnet-interoperability-fundamentals"
"Building End-to-End Multi-Client Service Oriented Applications: Angular ","building-multi-client-end-to-end-soa-angular"
"Continuous Integration and Deployment for AngularJS and Node.js","continuous-integration-deployment-angularjs-nodejs"
"Clean View Models With Assisticant","clean-view-models-assisticant"
"Approval Tests for .NET","approval-tests-dotnet"
"JavaScript Fundamentals for ES6","javascript-fundamentals-es6"
"WebGL and Three.js Fundamentals","webgl-threejs-fundamentals"
"Date and Time Fundamentals","date-time-fundamentals"
"Apache Ant Fundamentals","apache-ant-fundamentals"
"C# Equality and Comparisons","csharp-equality-comparisons"
"Rails Rendering","rails-rendering"
"Google Maps API: Get Started","google-maps-api-get-started"
"Play by Play: Ruby Development in Vim with Tim Pope","play-by-play-tim-pope"
"Gathering Good Requirements for Developers","gathering-good-requirements-developers"
"Python Desktop Application Development","python-desktop-application-development"
"Hack Your API First","hack-your-api-first"
"The Essentials of the Windows Runtime","windows-runtime-essentials"
"Building Mobile Web Sites Using Web Forms, Bootstrap, and HTML5","building-mobile-web-sites-web-forms-bootstrap-html5"
"SQL Server: Optimizing Stored Procedure Performance","sqlserver-optimizing-stored-procedure-performance"
"Executable Specifications: End-to-End Acceptance Testing With SpecFlow","executable-specifications-specflow"
"HTML5 Audio, Video, and WebRTC","html5-audio-video-webrtc"
"Building Mobile Apps With the Ionic Framework and AngularJS","building-mobile-apps-ionic-framework-angularjs"
"Making Games With Hopscotch","hopscotch-games"
"Writing Content With Markdown","writing-content-with-markdown"
"Streaming in .NET 4.5","streaming-dotnet-4-5"
"Front-End Web Development Quick Start With HTML5, CSS, and JavaScript","front-end-web-app-html5-javascript-css"
"Build Process, Workflows and Tooling With Grunt.js and Beyond","build-process-workflows-tooling-gruntjs"
"Plan, Create, and Deploy to Azure With Visual Studio Online","deploy-azure-visual-studio-online"
"Building Apps With Durandal 2, MVC 5, Breeze, and Bootstrap 3","building-apps-durandal-2-mvc5-breeze"
"Building Web Apps With Node.js","building-web-apps-nodejs"
"Practical iOS Concurrency","practical-ios-concurrency"
"Hacking the User Experience / UX for Developers","hacking-user-experience"
"Speaking Fundamentals","speaking-fundamentals"
"F# Functional Data Structures","fsharp-functional-data-structures"
"The Evolution of XPath: What’s New in XPath 3.0","xpath-3-0-whats-new"
"Project Server 2013 Installation","project-server-2013-installation"
"SQL Server: Common Query Tuning Problems and Solutions: Part 2","sql-server-common-query-tuning-problems-solutions-part2"
"Improving Testability Through Design","improving-testability-through-design"
"Introduction to CSS for Designers","introduction-css-1753"
"What's New in Java 8","java-8-whats-new"
"Parent-Child Data with EF, MVC, Knockout, Ajax, and Validation","parent-child-data-ef-mvc-knockout-ajax"
"Encapsulation and SOLID","encapsulation-solid"
"Play by Play: Modernizing C++ Code with Kate Gregory","play-by-play-kate-gregory"
"Get Started With HTML5 Boilerplate","html5-boilerplate-get-started"
"Windows Server 2008 for Developers","windows-server-2008-developers"
"Windows Server 2012 for Developers","windows-server-2012-developers"
"Introduction to Grunt","grunt-introduction"
"Basic HTML for Kids","teaching-kids-basic-html"
"Making .NET Data Types More Human With Humanizer","humanizer-making-dotnet-types-more-human"
"Creating a Google Glass App With C# and Xamarin","creating-google-glass-app-csharp-xamarin"
"Creating Effective User Stories","creating-effective-user-stories"
"HTTP Networking in iOS","http-networking-ios"
"Building Native Mobile Apps for SAP Business Warehouse: Part 1","building-native-mobile-apps-sap-business-warehouse"
"Windows Store Apps: Data Binding in Depth","windows-store-apps-data-binding"
"Simplifying CSS in Visual Studio With Sass","simplifying-css-visual-studio-sass"
"Starting and Running a Successful User Group","starting-running-user-group"
"Sweet.js: Get Started","sweet-js-get-started"
"Play by Play: HTML, CSS, and JavaScript with Lea Verou","play-by-play-lea-verou"
"Python – Beyond the Basics","python-beyond-basics"
"The Python Developer's Toolkit","python-developers-toolkit"
"WCF Jumpstart","wcf-jumpstart"
"XAML Jumpstart: Getting Started With XAML","xaml-jumpstart"
"Creating Mobile Apps: Native, Hybrid, or Cross Platform Framework?","creating-mobile-apps-hybrid-cross-platform-native"
"Building Your First Windows Phone App","building-your-first-windows-phone-app"
"Static Websites with Jekyll","static-websites-with-jekyll"
"Your First Day in Dreamweaver CC","your-first-day-dreamweaver-cc-1690"
"GitHub for Windows Developers","github-windows-developers"
"What's New in Prism 5.0","prism-50-whats-new"
"Understanding Metaprogramming","understanding-metaprogramming"
"Modern Structured Logging With Serilog and Seq","modern-structured-logging-serilog-seq"
"Node Application Patterns","node-application-patterns"
"Testing AngularJS From Scratch","testing-angularjs-from-scratch"
"Object-Oriented Programming Fundamentals in C#","object-oriented-programming-fundamentals-csharp"
"iAd Fundamentals","iad-fundamentals"
"SQL Server: Common Query Tuning Problems and Solutions: Part 1","sql-server-common-query-tuning-problems-solutions"
"Rails 4.1 Performance Fundamentals","rails-4-1-performance-fundamentals"
"Intro to BizTalk Server 2013 Enterprise Service Bus (ESB) Toolkit","biztalk-server2013-enterprise-service-bus-toolkit"
"Functional Programming With Java","java-functional-programming"
"IDisposable Best Practices for C# Developers","idisposable-best-practices-csharp-developers"
"Custom VBA Class Development","custom-vba-class-development"
"Getting Your First WordPress Website Up in Under 24 Hours","getting-first-wordpress-website-up"
"Domain-Driven Design Fundamentals","domain-driven-design-fundamentals"
"How to Have a Better Career in Software","how-to-have-better-career-software"
"Oracle Performance Tuning for Developers","oracle-performance-tuning-developers"
"Getting Started with Enterprise Search Using Apache Solr","enterprise-search-using-apache-solr"
"Reactive Programming in Java 8 With RxJava","reactive-programming-java-8-rxjava"
"Practical Data Modeling With C# and SQL Server","practical-data-modeling-csharp-sql-server"
"Your First Day with HTML","your-first-day-html-1665"
"phpMyAdmin Fundamentals","phpmyadmin-fundamentals"
"Play by Play: SQL Server Administration with Pinal Dave","play-by-play-pinal-dave"
"Mobilize Your ASP.NET Web Forms","mobilize-aspdotnet-web-forms"
"Real-time Web Applications","real-time-web-applications"
"Automatic .NET Code Weaving With Fody","automatic-dotnet-code-weaving-fody"
"Human Behavior for Technical People","human-behavior-for-technical-people"
"Creating a Google Glass App With the Glass Development Kit","creating-google-glass-app"
"Oracle PL/SQL Fundamentals: Part 2","oracle-plsql-fundamentals-part2"
"Building Asynchronous RESTful Services With Jersey","build-asynchronous-restful-services-jersey"
"Play by Play: Test-Driven PHP with Chris Hartjes","play-by-play-chris-hartjes"
"Introduction to the Boost C++ Libraries","boost-cpp-libraries-introduction"
"Introduction to Visual Studio 2013: Part 2","intro-visual-studio-2013-part2"
"C# Language Internals: Part 2","csharp-language-internals-part2"
"Durandal.js: Get Started","durandal-js-get-started"
"AngularJS: Get Started","angularjs-get-started"
"Scala: Getting Started","scala-getting-started"
"Java Web Fundamentals","java-web-fundamentals"
"Security and Encryption in SQL Server 2012 and 2014","sqlserver-security-encryption"
"Google Glass: First Look","google-glass-first-look"
"Introduction to Qt: A C++ Cross Platform Application Framework","introduction-qt-cplusplus-framework"
"Ember.js Fundamentals","emberjs-fundamentals"
"Working With Temporal Data in SQL Server","working-with-temporal-data-sql-server"
"Bower Fundamentals","bower-fundamentals"
"DirectComposition in Action","directcomposition-in-action"
"MySQL Backup and Recovery Fundamentals","mysql-backup-recovery-fundamentals"
"Extending XAML Applications With Behaviors","extending-xaml-applications-behaviors"
"Haskell Fundamentals Part 2","haskell-fundamentals-part2"
"SQL Server 2014 DMV Diagnostic Queries: Part 1","sql-server-2014-dmv-diagnostic-queries-part1"
"Java Persistence API (JPA) 2.1","java-persistence-api-21"
"Cryptography Fundamentals for Java and .NET Developers","cryptography-fundamentals-java-dotnet-developers"
"Using Functoids in the BizTalk 2013 Mapper","using-functoids-biztalk-2013-mapper"
"Home Automation Fundamentals","home-automation-fundamentals"
"ExtJS Desktop Fundamentals","extjs-desktop-fundamentals"
"Making .NET Applications Faster","making-dotnet-applications-faster"
"Defensive Coding in C#","defensive-coding-csharp"
"MVVM Light Toolkit Fundamentals","mvvm-light-toolkit-fundamentals"
"iOS Unit Testing with XCTest","ios-unit-testing-xctest"
"Understanding and Eliminating Technical Debt","understanding-eliminating-technical-debt"
"Learn to Program: Kodu Kingdom Defense","learn-to-program-kodu-kingdom-defense"
"Building an Intelligent System: From Embedded to Cloud","building-intelligent-system-embedded-to-cloud"
"Building Web Apps & Services with Entity Framework and Web API","building-web-apps-services-aspdotnet-ef-webapi"
"Introduction to scriptcs","introduction-scriptcs"
"Building the Right Thing in .NET with TestStack","building-right-thing-dotnet-teststack"
"POV-Ray Fundamentals","pov-ray-fundamentals"
"Learning Craft","learning-craft-cms"
"Configuring SharePoint 2013 for Business Intelligence","configuring-sharepoint-2013-business-intelligence"
"Lessons from Real World .NET Code Reviews","dotnet-code-reviews-real-world-lessons"
"Message Queue Fundamentals in .NET","message-queue-fundamentals-dotnet"
"What's New in the OWASP Top 10 for 2013","owasp-top-10-whats-new-2013"
"Big Data & Reporting with MongoDB","mongodb-big-data-reporting"
"Data Visualization for Developers","data-visualization-developers"
"Building SharePoint Apps as Single Page Apps with AngularJS","building-sharepoint-apps-spa-angularjs"
"Becoming an Outlier: Reprogramming the Developer Mind","career-reboot-for-developer-mind"
"Front End Web Development: Get Started","front-end-web-development-get-started"
"D3.js Data Visualization Fundamentals","d3js-data-visualization-fundamentals"
"Pebble Smart Watch App Fundamentals","pebble-smart-watch-app-fundamentals"
"Building JAX-WS Web Services with Apache CXF","building-jax-ws-web-services-apache-cxf"
"Designing a Killer Job Search Strategy","job-search-strategies"
"Building a WordPress Theme Framework with Bootstrap 3","building-wordpress-theme-framework-bootstrap3"
"Introduction to ABAP for SAP Business Warehouse Developers","intro-abap-for-sap-business-warehouse-developer"
"Optimizing SQL Queries in Oracle","optimizing-sql-queries-oracle"
"Play! 2 for Scala","play-2-scala"
"Web API v2 Security","webapi-v2-security"
"Introduction to D","introduction-to-d"
